customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,age
ID0064,Male,0,No,Yes,19,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,One year,Yes,Mailed check,103.11,6211.72,Yes,34.0
ID0065,Female,1,No,No,24,No,Yes,Fiber optic,No internet service,No internet service,No internet service,Yes,No,Yes,Two year,Yes,Mailed check,116.0,82.15,Yes,26.0
ID0066,Male,1,No,No,41,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),36.56,2056.71,Yes,46.0
ID0067,Female,0,No,Yes,44,Yes,Yes,No,No internet service,No internet service,No,No internet service,No,Yes,Month-to-month,No,Mailed check,42.51,412.32,Yes,21.0
ID0068,Male,1,No,Yes,30,No,No,Fiber optic,No,Yes,No internet service,No,No internet service,No internet service,Two year,Yes,Credit card (automatic),114.89,3504.32,Yes,29.0
ID0069,Male,0,No,Yes,64,Yes,No,DSL,Yes,No,No,Yes,No internet service,Yes,Month-to-month,No,Credit card (automatic),36.41,4973.06,Yes,79.0
ID0070,Female,0,No,No,51,No,No,No,No internet service,No,No internet service,No,Yes,No,Month-to-month,No,Credit card (automatic),30.63,3286.31,Yes,48.0
ID0071,Male,1,Yes,Yes,20,No,No,No,Yes,No internet service,No internet service,Yes,No,Yes,Month-to-month,Yes,Mailed check,99.33,8218.79,Yes,85.0
ID0072,Male,0,No,Yes,29,No,No phone service,Fiber optic,No internet service,No,No,No,No,No,Two year,Yes,Credit card (automatic),87.77,1173.63,No,61.0
ID0073,Female,0,No,Yes,2,Yes,Yes,No,No,Yes,No,Yes,No internet service,No,Two year,No,Electronic check,87.99,2265.91,No,37.0
ID0074,Female,0,Yes,Yes,69,Yes,Yes,DSL,No internet service,No internet service,No,No,Yes,No,Month-to-month,Yes,Electronic check,42.66,5528.49,Yes,23.0
ID0075,Female,1,No,No,42,Yes,Yes,No,Yes,No,No,Yes,No,No,Two year,Yes,Electronic check,57.59,5418.97,No,62.0
ID0076,Female,1,Yes,Yes,28,No,No phone service,Fiber optic,Yes,No internet service,Yes,Yes,No,No,Two year,No,Mailed check,35.93,7687.83,Yes,86.0
ID0077,Male,1,Yes,No,2,Yes,No phone service,Fiber optic,Yes,Yes,No,No,No,No internet service,Two year,Yes,Bank transfer (automatic),36.16,8921.51,Yes,76.0
ID0078,Male,0,No,No,57,No,No,Fiber optic,No,No internet service,Yes,No,No internet service,No internet service,One year,Yes,Bank transfer (automatic),69.57,1947.7,No,31.0
ID0079,Male,0,Yes,Yes,32,No,Yes,No,No internet service,Yes,No internet service,Yes,Yes,No,Two year,No,Electronic check,87.27,2037.17,Yes,42.0
ID0080,Female,1,No,No,44,Yes,Yes,Fiber optic,No,No internet service,No internet service,No internet service,No,Yes,One year,No,Mailed check,52.07,8340.88,Yes,31.0
ID0081,Female,1,No,Yes,68,No,No phone service,No,No,No internet service,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,67.54,7611.66,No,75.0
ID0082,Male,1,Yes,Yes,31,Yes,Yes,Fiber optic,Yes,No,No internet service,Yes,No,No internet service,Month-to-month,No,Electronic check,54.84,1539.86,Yes,48.0
ID0083,Male,0,Yes,Yes,51,No,No phone service,Fiber optic,Yes,No,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),111.48,5527.6,Yes,44.0
ID0084,Male,1,Yes,Yes,63,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Mailed check,90.34,813.33,Yes,58.0
ID0085,Male,0,No,Yes,39,No,No phone service,DSL,No,Yes,No,No,No,Yes,One year,No,Electronic check,82.52,5118.89,No,69.0
ID0086,Female,1,No,No,12,No,Yes,DSL,No internet service,Yes,No,No,No internet service,Yes,Two year,No,Credit card (automatic),93.03,8656.06,Yes,69.0
ID0087,Female,0,Yes,No,28,Yes,No phone service,Fiber optic,Yes,No,No,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,46.8,8493.44,Yes,
ID0088,Female,0,No,Yes,62,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,Yes,No internet service,Yes,One year,No,Electronic check,112.98,7526.33,Yes,67.0
ID0089,Male,1,No,No,25,Yes,No,No,Yes,Yes,No,No,No,No internet service,Two year,No,Bank transfer (automatic),39.95,2211.14,No,38.0
ID0090,Male,0,Yes,Yes,58,Yes,Yes,No,No internet service,No internet service,Yes,Yes,No internet service,No,Two year,No,Electronic check,33.81,5314.71,No,64.0
ID0091,Female,1,Yes,No,48,Yes,Yes,DSL,No internet service,No internet service,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),110.6,4269.73,Yes,37.0
ID0092,Female,0,Yes,No,52,No,No,No,Yes,No,No internet service,No,No internet service,Yes,Two year,No,Credit card (automatic),45.99,5586.62,No,89.0
ID0093,Female,0,Yes,Yes,30,No,No phone service,No,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,104.84,5783.13,Yes,49.0
ID0094,Female,1,Yes,No,11,Yes,No phone service,No,No,No internet service,No,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),49.77,176.96,No,23.0
ID0095,Female,0,Yes,No,57,Yes,Yes,No,No,Yes,No,Yes,No,No internet service,One year,Yes,Credit card (automatic),49.45,7652.75,Yes,51.0
ID0096,Female,1,Yes,No,35,No,No phone service,DSL,No internet service,No,No,Yes,Yes,Yes,Two year,No,Electronic check,115.78,5881.6,Yes,53.0
ID0097,Male,1,Yes,Yes,9,No,No,DSL,Yes,No internet service,No,No internet service,No,No,Month-to-month,No,Credit card (automatic),116.53,7405.75,Yes,51.0
ID0098,Male,1,Yes,No,5,Yes,Yes,No,No,No,Yes,No,No,No internet service,Two year,Yes,Bank transfer (automatic),116.18,2528.78,No,33.0
ID0099,Male,0,Yes,No,6,Yes,No phone service,No,No,No internet service,No,No internet service,No,No internet service,One year,No,Electronic check,33.72,8414.94,Yes,
ID0100,Male,0,No,No,30,Yes,No,DSL,Yes,No,No internet service,No,Yes,No,One year,No,Mailed check,77.17,2806.43,No,
ID0101,Female,0,No,No,71,No,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),23.64,8055.0,Yes,76.0
ID0102,Male,1,Yes,No,2,No,Yes,No,No,Yes,Yes,Yes,No internet service,No,Month-to-month,No,Mailed check,88.65,4565.04,Yes,75.0
ID0103,Female,1,No,No,46,No,Yes,Fiber optic,Yes,No,No internet service,No internet service,Yes,No internet service,Two year,Yes,Mailed check,87.11,8203.35,Yes,44.0
ID0104,Female,0,No,No,0,No,No phone service,No,Yes,No,No internet service,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),119.23,1987.71,Yes,58.0
ID0105,Male,0,No,No,44,Yes,No phone service,DSL,No internet service,No,No,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),107.78,4855.38,No,47.0
ID0106,Male,1,No,No,53,Yes,No phone service,No,No,Yes,No internet service,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),41.82,1772.53,No,50.0
ID0107,Female,0,No,Yes,49,Yes,No,Fiber optic,No,No,No internet service,No internet service,No,No,Two year,No,Electronic check,64.38,3878.72,No,65.0
ID0108,Male,1,No,No,6,No,No,DSL,No internet service,Yes,No,No internet service,No internet service,No,Month-to-month,No,Mailed check,45.73,1908.05,Yes,62.0
ID0109,Male,0,Yes,No,62,No,No phone service,No,No internet service,No,No,No,No internet service,No internet service,One year,No,Credit card (automatic),24.77,5228.92,Yes,
ID0110,Male,1,Yes,No,14,Yes,Yes,No,No,No,Yes,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),58.25,5641.01,No,49.0
ID0111,Male,0,No,No,66,Yes,No,DSL,No,No internet service,No internet service,No,No,No,Two year,Yes,Electronic check,30.77,3262.43,Yes,53.0
ID0112,Female,0,No,No,29,No,No,No,Yes,Yes,No,No,No internet service,No internet service,Two year,No,Mailed check,96.49,6757.92,Yes,24.0
ID0113,Female,1,Yes,Yes,67,Yes,No phone service,DSL,Yes,No,No internet service,No,No,No internet service,One year,Yes,Bank transfer (automatic),58.94,2762.81,No,42.0
ID0114,Female,1,No,Yes,35,Yes,Yes,No,No,Yes,No,No internet service,Yes,No internet service,One year,Yes,Bank transfer (automatic),23.12,6682.46,No,28.0
ID0115,Female,1,No,Yes,66,No,No,DSL,Yes,No internet service,Yes,No,No internet service,No,Two year,No,Mailed check,47.07,4383.44,Yes,20.0
ID0116,Female,0,No,Yes,4,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Two year,No,Credit card (automatic),53.27,3343.6,No,86.0
ID0117,Male,1,No,No,24,No,No,DSL,Yes,Yes,No,No,No internet service,Yes,Two year,No,Credit card (automatic),65.32,1466.38,Yes,72.0
ID0118,Female,1,No,No,10,Yes,Yes,DSL,No internet service,Yes,Yes,No internet service,No internet service,No,Two year,No,Bank transfer (automatic),88.12,4406.31,No,61.0
ID0119,Female,0,Yes,No,71,Yes,Yes,No,No,Yes,No,No internet service,No internet service,Yes,One year,Yes,Mailed check,98.79,4460.56,No,61.0
ID0120,Female,1,Yes,Yes,65,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),118.58,7135.89,Yes,65.0
ID0121,Female,1,No,Yes,27,No,Yes,No,No,Yes,No internet service,No internet service,Yes,No internet service,One year,No,Electronic check,105.42,1181.93,Yes,20.0
ID0122,Male,1,Yes,Yes,59,No,No,No,Yes,Yes,No internet service,No internet service,No internet service,Yes,Two year,No,Mailed check,65.76,180.94,No,89.0
ID0123,Male,0,No,Yes,9,No,No,No,Yes,No,No internet service,No,No internet service,Yes,One year,No,Mailed check,30.55,7830.62,No,72.0
ID0124,Male,0,No,No,49,No,Yes,DSL,No internet service,No,No,Yes,No,No internet service,Two year,No,Mailed check,86.4,3576.18,No,84.0
ID0125,Male,0,No,No,38,Yes,No,No,No internet service,Yes,Yes,No internet service,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),62.24,4645.54,Yes,60.0
ID0126,Female,1,No,Yes,36,No,Yes,DSL,No,Yes,No,Yes,No,No,Two year,No,Bank transfer (automatic),60.56,3489.22,No,75.0
ID0127,Female,0,No,No,62,Yes,No,Fiber optic,No internet service,No,No,No,No internet service,Yes,One year,Yes,Credit card (automatic),53.77,8165.94,Yes,74.0
ID0128,Male,1,No,Yes,60,Yes,Yes,Fiber optic,No internet service,No internet service,No,No internet service,Yes,No internet service,Two year,Yes,Credit card (automatic),36.89,7187.78,No,33.0
ID0129,Female,1,No,Yes,37,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),28.88,1847.6,Yes,77.0
ID0130,Male,1,No,Yes,32,Yes,No,No,No,No internet service,No,No,No,Yes,Month-to-month,No,Credit card (automatic),101.89,3073.21,Yes,72.0
ID0131,Male,0,No,Yes,44,Yes,No phone service,DSL,No,Yes,No,Yes,No internet service,No,Two year,No,Mailed check,38.5,4744.58,Yes,63.0
ID0132,Male,0,Yes,No,43,Yes,No,No,No internet service,Yes,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),89.98,2336.17,Yes,89.0
ID0133,Male,1,No,No,0,Yes,No,DSL,Yes,No,Yes,Yes,No internet service,No internet service,Two year,No,Credit card (automatic),92.68,1456.04,Yes,60.0
ID0134,Female,1,Yes,Yes,52,No,Yes,Fiber optic,No internet service,No,No internet service,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),50.73,2141.11,No,
ID0135,Male,0,Yes,Yes,46,Yes,Yes,Fiber optic,No internet service,No,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),75.62,8321.92,No,80.0
ID0136,Female,0,No,No,32,No,Yes,Fiber optic,No,Yes,No internet service,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),91.14,5916.2,Yes,60.0
ID0137,Female,0,Yes,No,66,Yes,Yes,No,Yes,No,No internet service,Yes,No,No,Two year,Yes,Bank transfer (automatic),33.44,1141.43,Yes,30.0
ID0138,Male,1,No,Yes,14,No,No phone service,No,No internet service,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,36.94,6493.57,No,75.0
ID0139,Female,0,No,Yes,13,Yes,No phone service,DSL,No internet service,No internet service,No,No,Yes,Yes,Two year,Yes,Mailed check,91.76,7019.92,Yes,83.0
ID0140,Female,0,No,Yes,22,No,Yes,DSL,Yes,Yes,No,Yes,No,No internet service,One year,Yes,Credit card (automatic),47.99,6003.69,Yes,50.0
ID0141,Male,0,No,Yes,53,Yes,Yes,Fiber optic,No internet service,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),30.72,4214.75,Yes,21.0
ID0142,Female,1,Yes,Yes,7,No,Yes,No,No,Yes,No,No,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),72.02,7526.97,Yes,50.0
ID0143,Male,0,Yes,No,53,No,Yes,No,No internet service,No,No,No internet service,No,No internet service,One year,No,Mailed check,100.64,7593.91,No,30.0
ID0144,Male,1,No,No,35,No,No,DSL,No,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),50.62,3961.0,Yes,22.0
ID0145,Male,1,Yes,Yes,51,Yes,Yes,DSL,No,No,No internet service,No internet service,Yes,No internet service,Two year,No,Mailed check,46.05,3692.74,No,25.0
ID0146,Female,1,Yes,Yes,5,Yes,No,No,No,No internet service,No internet service,No,No internet service,Yes,Two year,No,Bank transfer (automatic),40.78,263.45,No,60.0
ID0147,Female,0,Yes,Yes,27,No,Yes,No,No,Yes,No,No,No internet service,No,Two year,No,Electronic check,67.67,53.79,No,81.0
ID0148,Male,0,No,Yes,49,No,No phone service,DSL,No,No internet service,No,Yes,No internet service,No internet service,Month-to-month,No,Credit card (automatic),77.28,3180.7,No,89.0
ID0149,Male,0,Yes,No,37,Yes,No phone service,No,No,No internet service,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),33.46,8337.16,No,38.0
ID0150,Female,1,Yes,No,29,Yes,Yes,No,No internet service,Yes,No internet service,Yes,Yes,Yes,One year,Yes,Electronic check,100.14,3355.1,Yes,72.0
ID0151,Male,0,Yes,Yes,72,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),73.01,79.82,No,80.0
ID0152,Male,1,No,No,53,Yes,No phone service,No,No internet service,No,Yes,No internet service,Yes,No internet service,One year,No,Credit card (automatic),76.28,7361.15,Yes,78.0
ID0153,Male,0,Yes,Yes,70,Yes,No phone service,No,Yes,No internet service,No,No,No,No internet service,Month-to-month,No,Credit card (automatic),31.76,8839.47,No,48.0
ID0154,Male,0,Yes,Yes,45,No,No phone service,No,No internet service,No internet service,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),82.32,2467.66,No,62.0
ID0155,Male,0,No,No,27,No,No,DSL,Yes,No,No,Yes,No,No,One year,Yes,Electronic check,87.83,8100.84,No,41.0
ID0156,Female,0,Yes,Yes,16,No,No,Fiber optic,No internet service,Yes,No internet service,No,Yes,No,Month-to-month,Yes,Electronic check,60.38,8649.74,Yes,80.0
ID0157,Female,1,No,No,47,No,No,DSL,No,No internet service,No,No,No internet service,No,Two year,No,Bank transfer (automatic),79.92,1689.56,Yes,62.0
ID0158,Male,1,No,Yes,43,Yes,No,Fiber optic,Yes,No,No,No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),43.34,4314.53,Yes,45.0
ID0159,Female,1,No,Yes,59,Yes,Yes,Fiber optic,No internet service,No internet service,No,No,No,No,Month-to-month,Yes,Mailed check,83.93,8398.35,No,50.0
ID0160,Male,1,No,Yes,59,No,No phone service,No,No,No internet service,Yes,Yes,No internet service,No internet service,One year,No,Mailed check,73.3,2732.25,Yes,
ID0161,Female,0,No,Yes,4,Yes,No phone service,Fiber optic,No internet service,No,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),78.28,4839.69,Yes,45.0
ID0162,Female,1,No,No,68,Yes,Yes,Fiber optic,Yes,No internet service,No,No,No,No internet service,Month-to-month,Yes,Mailed check,45.17,4029.78,Yes,76.0
ID0163,Female,1,Yes,Yes,69,No,Yes,No,No internet service,No,No internet service,No,Yes,Yes,One year,Yes,Mailed check,98.91,4962.09,No,45.0
ID0164,Male,1,No,No,6,No,No,No,No internet service,No,Yes,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),102.6,1453.59,No,57.0
ID0165,Female,0,Yes,No,52,Yes,No,Fiber optic,No,No internet service,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),30.48,5735.32,Yes,
ID0166,Male,1,Yes,Yes,16,No,No phone service,DSL,No,No internet service,Yes,Yes,No internet service,No internet service,Two year,Yes,Electronic check,106.76,7254.63,No,26.0
